id,programa_id,nombre,descripcion,created_at,updated_at,deleted_at
1,82,2018C,CUATRIMESTRAL,2020/02/04 11:47,2020/02/04 17:06,1900/01/01 00:00
2,82,2019A,CUATRIMESTRAL,2020/02/04 17:27,1900/01/01 00:00,1900/01/01 00:00
3,82,2019B,CUATRIMESTRAL,2020/02/04 17:53,1900/01/01 00:00,1900/01/01 00:00
4,82,2019C,CUATRIMESTRAL,2020/02/05 13:08,2020/02/05 13:08,1900/01/01 00:00
5,84,2017C,CUATRIMESTRAL,2020/02/06 13:33,1900/01/01 00:00,1900/01/01 00:00
6,84,2018A,CUATRIMESTRAL,2020/02/06 14:47,1900/01/01 00:00,1900/01/01 00:00
7,84,2018B,CUATRIMESTRAL,2020/02/07 10:16,1900/01/01 00:00,1900/01/01 00:00
8,84,2018C,CUATRIMESTRAL,2020/02/13 11:25,1900/01/01 00:00,1900/01/01 00:00
9,84,2019A,CUATRIMESTRAL,2020/02/13 11:37,1900/01/01 00:00,1900/01/01 00:00
10,84,2019B,CUATRIMESTRAL,2020/02/13 11:46,1900/01/01 00:00,1900/01/01 00:00
11,84,2019C,CUATRIMESTRAL,2020/02/13 12:57,1900/01/01 00:00,1900/01/01 00:00
12,248,2017A,CUATRIMESTRAL,2020/03/11 17:28,1900/01/01 00:00,1900/01/01 00:00
13,248,2017B,CUATRIMESTRAL,2020/03/12 11:48,1900/01/01 00:00,1900/01/01 00:00
14,248,2017C,CUATRIMESTRAL,2020/03/12 14:43,1900/01/01 00:00,1900/01/01 00:00
15,248,2018A,CUATRIMESTRAL,2020/03/13 11:05,1900/01/01 00:00,1900/01/01 00:00
16,248,2018B,CUATRIMESTRAL,2020/03/17 12:34,1900/01/01 00:00,1900/01/01 00:00
17,248,2018C,CUATRIMESTRAL,2020/03/17 14:00,1900/01/01 00:00,1900/01/01 00:00
18,248,2019A,CUATRIMESTRAL,2020/03/18 15:51,1900/01/01 00:00,1900/01/01 00:00
19,248,2019B,CUATRIMESTRAL,2020/03/18 18:33,1900/01/01 00:00,1900/01/01 00:00
20,248,2019C,CUATRIMESTRAL,2020/03/20 00:08,1900/01/01 00:00,1900/01/01 00:00
21,248,2020A,CUATRIMESTRAL,2020/03/24 20:35,1900/01/01 00:00,1900/01/01 00:00
22,83,2018C,CUATRIMESTRAL,2020/04/03 13:11,2020/04/03 13:13,1900/01/01 00:00
23,16,20128A-2021B,SEMESTRAL,2020/04/03 13:41,1900/01/01 00:00,1900/01/01 00:00
24,16,2018B-2022A,SEMESTRAL,2020/04/03 13:59,2020/04/03 14:00,1900/01/01 00:00
25,50,2016B,SEMESTRAL,2020/04/21 10:27,2020/05/13 11:09,1900/01/01 00:00
26,96,2016A,CUATRIMESTRAL,2020/04/21 15:38,2020/04/30 21:25,1900/01/01 00:00
27,194,2016A,SEMESTRAL,2020/04/22 12:47,2020/05/18 10:21,1900/01/01 00:00
