id,municipio_id,estado_id,calle,numero_exterior,numero_interior,colonia,codigo_postal,latitud,longitud,created_at,updated_at,deleted_at
-1,532,14,0,WEBSERVICE,WEBSERVICE,WEBSERVICE,0,WEBSERVICE,0,2018/11/04 10:00
1,532,14,SIN DATO,0,0,SIN DATO,0,0,0,2018/11/04 10:00
14,533,14,Av. del Bajío,5901,0,El Bajío,45019,20.69793422,-103.4651184,2019/07/30 14:34,2019/09/12 14:04
15,533,14,FRACCIONAMIENTO PUERTA DE HIERRO ,45116,0,RESIDENCIAL PUERTA DE HIERRO,45019,0,0,2019/07/30 18:09,2020/01/14 16:10
16,533,14,Av. Enrique Díaz de León,324,111,Colonia Americana,44100,20.67221714,-103.3595172,2019/09/02 14:00,2021/12/07 17:42
17,544,14,Av. López Mateos Sur,10100,0,Los Gavilanes Poniente,45645,20.57658631,-103.4528875,2019/09/02 15:20,2022/06/22 12:02
18,533,14,Chimalhuacán,6,0,Ciudad del sol,45050,0,0,2019/09/02 15:39,2023/09/13 09:23
19,532,14,ACUITLAHUAC,1111,262,CIUDAD DEL SOL,45050,0,0,2019/09/03 11:38,2023/09/07 12:34
20,533,14,Batalla de Zacatecas ,2395,0,Fraccionamiento Revoluccion,45580,20.62288834,-103.3147152,2019/09/03 15:02,2019/09/05 17:09
21,543,14,BATALLA DE ZACATECAS,2395,0,FRACCIONAMIENTO REVOLICION,45580,0,0,2019/09/03 17:15,2019/12/02 14:24
22,532,14,Normalistas,564,0,Colinas de la Normal,44270,20.69472255,-103.3424234,2019/09/04 13:41,2021/07/21 17:25
23,533,14,BATALLA DE ZACATECAS ,2395,0,FRACCIONAMIENTO REVOLUCCION,45580,20.62757347,-103.3306198,2019/09/05 17:37,2022/08/17 12:43
24,532,14,Rivera,5069,0,Álamo Industrial,45590,20.63125218,-103.3658402,2019/09/06 13:51,2019/09/10 22:00
25,532,14,SIN DATO,0,0,SIN DATO,0,0,0,2019/09/06 16:10,2019/09/10 22:00
26,533,14,Av. Lopez Mateos Sur,4175,0,La Giralda,45088,20.65172981,-103.4034169,2019/09/06 16:16,2022/05/31 17:14
27,532,14,Morelos,570,0,Centro,44100,0,0,2019/09/06 17:20,2023/05/03 13:13
28,532,14,Av. Juarez,340,0,Centro,44100,20.67525787,-103.3480158,2019/09/06 17:25,2023/07/12 13:15
29,532,14,AV. AMERICAS ,540,540,LADRON DE GUEVARA ,44600,20.68656016,-103.3730928,2019/09/09 13:54,2019/09/10 11:19
30,532,14,AV. AMERICAS ,540, ,LADRON DE GUEVARA ,44600,20.68655573,-103.3730985,2019/09/10 12:41,2020/09/30 12:55
31,532,14,Ramón Morales,517,0,La Perla,44360,20.7162283,-103.3082038,2019/09/10 18:29,2023/02/07 17:21
32,532,14,Ramon Morales,517,0,La Perla,44360,0,0,2019/09/10 18:43,2020/07/14 16:27
33,532,14,AV AMERICAS ,536,536,LADRON DE GUEVARA ,44600,0,0,2019/09/11 11:12,2020/08/26 17:36
34,533,14,Av. del Bajío,5901,0,El Bajío,45019,20.6974324,-103.4636593,2019/09/12 14:25,2021/10/12 13:48
35,532,14,Av Americas ,250,0,Ladron de Guevara,44600,20.68136087,-103.3804373,2019/09/13 15:35,2020/05/28 17:45
36,532,14,Av. Americas,250,0,Ladron de Guevara,44600,0,0,2019/09/13 15:54,2021/10/15 18:07
37,532,14,NORMALISTA,564,0,COLINAS DE LA NORMAL,44270,0,0,2019/09/18 13:50,2023/06/30 13:13
38,532,14,Av. Normalistas,564,0,Colinas de la Normal,44270,0,0,2019/09/23 15:31,2019/10/01 16:56
39,532,14,Av. Americas,250,0,Ladron de Guevara,44600,0,0,2019/09/24 15:37,2019/09/25 18:04
40,532,14,Av. Americas,250,0,Ladron de Guevara,44600,20.68582244,-103.2110573,2019/09/24 15:56,2019/09/24 16:09
41,532,14,Av. Americas,250,0,Ladron de Guevara,44600,20.64470465,-103.3209206,2019/09/24 16:17,2019/09/25 17:40
42,533,14,Armillita,20,-,Guadalupe Jardín,45030,0,0,2019/09/25 16:17,2023/08/11 13:33
43,532,14,Madero,607,0,Centro,44100,20.67278208,-103.3541121,2019/09/25 16:17,2019/09/30 14:37
44,532,14,Francisco I. Madero ,607,0,Centro,44100,20.67337748,-103.3536314,2019/09/30 14:42,2023/07/17 14:12
45,533,14,Rincón de los Ahuehuetes,3309,0,Rinconada del Sol,45055,21.00767108,-102.9016474,2019/10/01 19:50,2023/02/07 17:53
46,612,14,Blvd. Francisco Medina Ascencio,2180,0,Díaz Ordaz,48310,20.63699382,-105.2078224,2019/10/01 19:56,2022/05/31 09:36
47,532,14,Colón ,90,0,Centro,44100,20.7305005,-103.2751825,2019/10/02 10:46,2023/05/29 10:10
48,532,14,José María Lozano,1077,0,Postes Cuates,44370,20.68461162,-103.3256449,2019/10/02 10:49,2022/01/25 13:28
49,612,14,Carretera a Tepic,5515,0,Las Juntas,48291,0,0,2019/10/02 10:50,2022/01/26 13:30
50,533,14,Chimalhuacán,6,0,Ciudad del Sol,45050,20.90507494,-103.1543329,2019/10/02 10:53,2022/05/31 10:56
51,612,14,Francisco Murguía,523,0,Las Juntas,48291,20.62771541,-103.3301141,2019/10/02 10:55,2022/08/04 11:50
52,533,14,Av. Juan Gil Preciado,3897,0,Hogares de Nuevo México,45138,20.70994905,-103.4399774,2019/10/02 11:01,2022/07/15 17:16
53,532,14,Blvd. Marcelino García Barragán,2056,0,Bosques del Boulevard,44899,20.89481146,-103.1982782,2019/10/02 11:03,2021/11/23 11:11
54,539,14,Av. Tonaltecas,333,0,Agua Escondida,45400,21.04868981,-103.5278681,2019/10/02 11:13,2022/09/07 16:57
55,532,14,Av. Vallarta,1458,0,Americana,44100,20.85375052,-103.2422235,2019/10/02 11:15,2022/08/10 11:49
56,532,14,Av. Américas,696,0,Ladron de Guevara,44600,20.60265101,-103.3191278,2019/10/02 11:17,2022/05/31 11:22
57,533,14,Chimalhuacán 3569,45050,0,Ciudad del Sol,45088,0,0,2019/10/02 11:19,2022/01/28 17:14
58,554,14,Zaragoza,298,0,Centro,45950,0,0,2019/10/03 12:59,2023/08/29 11:29
59,532,14,Avenida Juarez,323,3° Piso,Centro,44100,20.6749467,-103.3476692,2019/10/03 12:59,2021/06/14 10:54
60,533,14,Av. Patria,1286,0,Villa Universitaria,45110,20.69339772,-103.4148431,2019/10/04 13:48,2022/07/02 12:51
61,532,14,SIN DATO,0,0,SIN DATO,0,0,0,2019/10/09 14:22,2019/10/10 16:21
62,533,14,Av. Vallarta,7239,0,Ciudad Granja,45010,20.68769678,-103.4457099,2019/10/09 14:22,2019/10/10 16:21
63,533,14,San Demetrio,3791,0,Jardines de San Ignacio,45040,0,0,2019/10/10 17:04,2023/04/20 13:07
64,532,14,Av. Americas,3,148,Americana,44600,20.67580352,-103.3739252,2019/10/10 17:04,2021/10/07 11:04
65,532,14,Av. Américas No. 696,696,0,Ladrón de Guevara,44600,0,0,2019/10/11 18:07,2019/11/06 14:54
66,532,14,SIN DATO,0,0,SIN DATO,0,0,0,2019/10/17 16:28,2022/02/08 16:07
67,532,14,Garibaldi,288,0,Centro,44280,20.68116115,-103.3537912,2019/10/17 16:28,2019/10/22 17:27
68,532,14,Av. Hidalgo,1310,0,Americana,44160,20.67713888,-103.3656742,2019/10/22 10:10,2019/11/12 14:05
69,532,14,Av. Enrique Díaz de León,90,0,Centro,46100,20.67789906,-103.3592543,2019/10/22 11:44,2021/10/25 12:49
70,533,14,Bugambilias,98,0,Rancho Contento,45019,0,0,2019/10/22 13:05,2023/08/22 17:53
71,532,14,Palermo ,3060,0,lomas del valle,44670,20.69139539,-103.3963037,2019/10/22 13:05,2023/01/16 11:24
72,532,14,av.Emrique Díaz De León,324,0,Americana,44100,0,0,2019/10/22 14:35
