id,ciclo_escolar_id,turno_id,grado_id,descripcion,grupo,generacion,generacion_fecha_inicio,generacion_fecha_fin,created_at,updated_at,deleted_at
1,1,4,1,Primer cuatrimestre,A,2018 - 2021,2018/08/27,2021/08/20,2020/02/04 11:51,2020/02/04 16:26,1900/01/01 00:00
2,2,4,2,Segundo cuatrimestre,A,2018 - 2021,2018/08/27,2021/08/20,2020/02/04 17:29,1900/01/01 00:00,1900/01/01 00:00
3,3,4,3,Tercero cuatrimestre,A,2018 - 2021,2018/08/27,2021/08/20,2020/02/04 17:53,1900/01/01 00:00,1900/01/01 00:00
4,4,4,4,Cuarto cuatrimestre,A,2018-2021,2018/08/17,2021/08/20,2020/02/05 13:12,1900/01/01 00:00,1900/01/01 00:00
5,5,1,1,Primer cuatrimestre,A,2017-2020,2017/08/28,2020/08/21,2020/02/06 13:34,1900/01/01 00:00,1900/01/01 00:00
6,6,1,2,Segundo cuatrimestre,A,2017-2020,2017/08/28,2020/08/21,2020/02/06 14:48,1900/01/01 00:00,1900/01/01 00:00
7,7,4,3,Tercero cuatrimestre,A,2017 - 2020,2017/08/28,2020/08/21,2020/02/07 10:19,1900/01/01 00:00,1900/01/01 00:00
8,6,4,1,Primer cuatrimestre,A,2018-2020,2018/01/08,2020/12/11,2020/02/13 10:29,1900/01/01 00:00,1900/01/01 00:00
9,7,4,2,Segundo cuatrimestre,a,2018-2020,2018/01/08,2020/12/11,2020/02/13 11:08,2020/02/13 11:09,1900/01/01 00:00
10,8,4,3,Tercero cuatrimestre,A,2018-2020,2018/01/08,2020/12/11,2020/02/13 11:28,1900/01/01 00:00,1900/01/01 00:00
11,9,4,4,Cuarto cuatrimestre,A,2018-2020,2018/01/08,2020/12/11,2020/02/13 11:37,1900/01/01 00:00,1900/01/01 00:00
12,10,4,5,Quinto cuatrimestre,A,2018-2020,2018/01/08,2020/12/11,2020/02/13 11:46,1900/01/01 00:00,1900/01/01 00:00
13,8,4,4,Cuarto cuatrimestre,A,2017-2020,2017/08/28,2020/08/21,2020/02/13 12:18,1900/01/01 00:00,1900/01/01 00:00
14,9,4,5,Quinto cuatrimestre,A,2017-2020,2017/08/28,2020/08/21,2020/02/13 12:40,1900/01/01 00:00,1900/01/01 00:00
15,11,4,6,Sexto cuatrimestre,A,2017-2020,2017/08/28,2020/08/21,2020/02/13 12:58,1900/01/01 00:00,1900/01/01 00:00
16,10,4,6,Sexto cuatrimestre,A,2017-2020,2017/08/28,2020/08/21,2020/02/13 13:05,1900/01/01 00:00,1900/01/01 00:00
17,12,1,1,Primer cuatrimestre,A,2017A - 2019B,2017/01/02,2019/08/16,2020/03/11 17:30,2020/03/12 11:19,1900/01/01 00:00
18,12,1,25,Optativa,A,2017A - 2019B,2017/01/02,2019/08/16,2020/03/12 11:12,1900/01/01 00:00,1900/01/01 00:00
19,13,1,2,Segundo cuatrimestre,A,2017A - 2019B,2017/01/02,2019/08/16,2020/03/12 11:49,1900/01/01 00:00,1900/01/01 00:00
20,13,1,25,Optativa,A,2017A - 2019B,2017/01/02,2019/08/16,2020/03/12 11:54,1900/01/01 00:00,1900/01/01 00:00
21,14,1,3,Tercero cuatrimestre,A,2017A - 2019B,2017/01/02,2019/08/16,2020/03/12 14:46,1900/01/01 00:00,1900/01/01 00:00
22,14,1,4,Cuarto cuatrimestre,A,2017A - 2019B,2017/01/02,2019/08/16,2020/03/12 15:05,1900/01/01 00:00,1900/01/01 00:00
