id,plantel_id,tipo_instalacion_id,nombre,ubicacion,capacidad,metros,recursos,created_at,updated_at,deleted_at
1,1,1,AULA 1,EDIF. LIC,25,42,SILLAS MESAS,2019/08/01 13:05,1900/01/01 00:00,1900/01/01 00:00
2,1,2,CUBÍCULOS,RECTORIA,20,10,NA,2019/08/01 13:05,2019/09/12 12:28,1900/01/01 00:00
3,1,4,LABORATORIO FISICO,EDIF. MEDICINA,25,25,SIMULADOR MELTMAN LAONESL 3 MONITORES SIGNOS VITALES 3 LAPTOP CONTROL HAL CON TRANSMISOR ,2019/08/01 13:05,1900/01/01 00:00,1900/01/01 00:00
4,13,1,AULAS,EDIF. LIC.,0,0,SILLAS Y MESAS,2019/08/02 13:18,2023/03/13 13:36,1900/01/01 00:00
5,13,1,AULA Q301,SEGUNDA PLANTA,40,30,PIZARRON; SILLAS; MESAS,2019/08/02 14:36,2023/03/13 13:36,1900/01/01 00:00
6,13,1,AULAS SEGUNDO CUATR,PLANTA BAJA,25,40,NA,2019/08/02 14:59,2023/03/13 13:36,1900/01/01 00:00
7,1,1,AULA M,PB,20,40,NA,2019/08/05 17:52,2019/08/12 11:56,1900/01/01 00:00
8,1,4,LAB. SIMULACION PROCEDIMIENTOS AVANZADOS,EDIF. MEDICINA,0,25,SIMULADOR MELTMAN;LAONESL; 3 MONITORES SIGNOS VITALES; 3 LAPTOP CONTROL HAL CON TRANSMISOR,2019/08/12 10:42,1900/01/01 00:00,1900/01/01 00:00
9,1,4,LAB. SIMULACION PROCEDIMIENTOS BÁSICO,EDIF MEDICINA,0,40,UN SIMULADOR colocación de Catéter Venoso Central.n1 Simulador de Inyección IM.n1 Simulador de intubación neonato.n1 Simulador   de otoscopia.n1 Simulador de cateterización vesical masculino.n1 Simulador   de cateterización vesical femenino.1 Simulador to,2019/08/12 10:42,1900/01/01 00:00,1900/01/01 00:00
10,13,1,AULAS 3ER CUATR,EDIF 3ER CUATR,50,100,MESAS; SILLAS,2019/08/12 11:56,2023/03/13 13:36,1900/01/01 00:00
11,13,1,AULAS 4o CUATRI,EDIF 4 CUATR,50,90,BANCAS; MESAS,2019/08/12 12:05,2023/03/13 13:36,1900/01/01 00:00
12,13,1,AULAS 5o CUATR,EDIF 5o CUATRI,90,100,MESAS; SILLAS,2019/08/12 12:14,2023/03/13 13:36,1900/01/01 00:00
13,13,1,AULAS 6 CUATR,PB,50,90,MESAS; SILLAS,2019/08/12 12:48,2023/03/13 13:36,1900/01/01 00:00
14,13,1,AULA 7 CUATR,PB,25,50,SALONES,2019/08/12 12:58,2023/03/13 13:36,1900/01/01 00:00
15,13,1,AULA 8 Y 9 CUATR,PB,50,90,SILLAS Y MESAS,2019/08/12 13:16,2023/03/13 13:36,1900/01/01 00:00
16,3,1,AD,NA,0,0,NA,2019/09/02 16:57,2019/09/03 14:18,1900/01/01 00:00
17,3,1,A,NA,0,0,NA,2019/09/02 16:57,2019/09/03 14:18,1900/01/01 00:00
18,3,8,LCO,NA,0,0,NA,2019/09/02 16:57,2023/08/28 14:04,2023/08/28 16:08
19,3,8,LCO,0,0,0,NA,2019/09/03 14:18,2023/08/28 14:04,2023/08/28 16:08
20,3,1,A,0,0,0,na,2019/09/03 14:28,2021/11/22 17:07,1900/01/01 00:00
21,3,1,AULAS SEGUNDO CUATRIMESTRE,0,0,0,NA,2019/09/03 15:15,2019/09/03 15:20,1900/01/01 00:00
22,3,1,AULAS SEGUNDO CUATRIMESTRE,0,0,0,NA,2019/09/03 15:20,2021/11/10 18:01,1900/01/01 00:00
23,3,1,AULAS TERCER CUATRIMESTRE,0,0,0,NA,2019/09/03 15:29,2021/11/10 18:01,1900/01/01 00:00
24,3,1,AULAS CUARTO CUATRIMESTRE,0,0,0,NA,2019/09/03 15:44,2021/11/10 18:01,1900/01/01 00:00
25,3,1,AULA QUINTO CUATRIMESTRE,0,0,0,NA,2019/09/03 15:56,2021/11/10 18:01,1900/01/01 00:00
26,3,1,AULA SEXTO CUATRIMESTRE,0,0,0,NA,2019/09/03 16:10,2021/11/10 18:01,1900/01/01 00:00
27,3,1,AULA SEPTIMO CUATRIMESTRE,0,0,0,NA,2019/09/03 16:26,2021/11/10 18:01,1900/01/01 00:00
28,3,1,AULA OCTAVO CUATRIMESTRE,0,0,0,NA,2019/09/03 16:45,2019/09/03 16:54,1900/01/01 00:00
29,3,1,AULA SEGUNDO CUATRIMESTRE,0,0,0,NA,2019/09/03 16:45,2019/09/03 16:54,1900/01/01 00:00
30,3,1,AULA OCTAVO CUATRIMESTRE,0,0,0,NA,2019/09/03 16:45,2021/11/10 18:01,1900/01/01 00:00
31,3,1,AULA SEGUNDO CUATRIMESTRE,0,0,0,NA,2019/09/03 16:45,2021/11/10 18:01,1900/01/01 00:00
32,3,1,AD,0,0,0,NA,2019/09/03 16:54,2021/11/22 17:07,1900/01/01 00:00
33,2,1,101,P.B,40,50,PROYECTOR PANTALLA; CORCHO,2019/09/04 11:33,1900/01/01 00:00,1900/01/01 00:00
34,2,1,AULA 1ER CUATRIMESTRE,0,0,0,-,2019/09/04 11:58,2019/10/14 11:01,1900/01/01 00:00
35,2,1,2DO CUATRIMESTRE ,-,1,1,-,2019/09/04 12:31,1900/01/01 00:00,1900/01/01 00:00
36,2,1,AULA 2DO CUATRIMESTRE ,-,0,0,-,2019/09/04 12:42,2019/10/14 11:01,1900/01/01 00:00
37,2,1,3ER CUATRIMESTRE ,-,0,0,-,2019/09/04 13:05,2019/10/14 11:01,1900/01/01 00:00
38,4,1,(A) (L)(O)t,0,0,0,na,2019/09/04 14:22,1900/01/01 00:00,1900/01/01 00:00
39,4,1,(A)(O)t,0,0,0,NA,2019/09/04 14:22,1900/01/01 00:00,1900/01/01 00:00
40,4,1,(A) (L)(O)t,0,0,0,NA,2019/09/04 14:22,1900/01/01 00:00,1900/01/01 00:00
41,4,1,(A)(O)t,0,0,0,NA,2019/09/04 14:22,1900/01/01 00:00,1900/01/01 00:00
42,4,1,(A)(O)t,0,0,0,NA,2019/09/04 14:22,1900/01/01 00:00,1900/01/01 00:00
43,4,1,(A)(O)t,0,0,0,NA,2019/09/04 14:41,1900/01/01 00:00,1900/01/01 00:00
44,4,1,(A)(O)t,0,0,0,NA,2019/09/04 14:41,1900/01/01 00:00,1900/01/01 00:00
45,4,1,(A)(T)(O)t,0,0,0,NA,2019/09/04 14:41,1900/01/01 00:00,1900/01/01 00:00
46,4,1,(A)(O)t,0,0,0,NA,2019/09/04 14:41,1900/01/01 00:00,1900/01/01 00:00
47,4,1,(A)(O)t,0,0,0,Na,2019/09/04 14:41,1900/01/01 00:00,1900/01/01 00:00
48,4,1,AULA PRIMER CUATRIMESTRE,0,0,0,NA,2019/09/04 15:28,2019/09/05 15:26,1900/01/01 00:00
49,4,1,AULAS SEGUNDO CUATRIMESTRE,0,0,0,NA,2019/09/04 15:44,2019/09/05 15:26,1900/01/01 00:00
50,4,1,AULAS TERCER CUATRIMESTRE,0,0,0,NA,2019/09/04 16:04,2019/09/05 15:21,1900/01/01 00:00
51,4,1,AULAS ASIGNATURAS OPTATIVAS,0,0,0,NA,2019/09/04 16:27,2019/09/05 15:31,1900/01/01 00:00
52,4,1,AULAS ASIGNATURA OPCIONAL,0,0,0,NA,2019/09/04 16:43,2019/09/05 15:31,1900/01/01 00:00
53,4,1,AULAS ASIGNATURAS OPTATIVAS,0,0,0,NA,2019/09/04 17:02,2019/09/05 15:31,1900/01/01 00:00
54,2,1,AULA 4TO CUATRIMESTRE ,-,0,0,-,2019/09/05 11:07,2019/10/14 11:01,1900/01/01 00:00
55,2,1,AULA 5TO CUATRIMESTRE ,-,0,0,-,2019/09/05 11:24,2019/10/14 11:01,1900/01/01 00:00
56,2,1,AULA 6TO CUATRIMESTRE ,-,0,0,-,2019/09/05 11:56,2019/10/14 11:01,1900/01/01 00:00
57,3,8,LCO,0,0,0,NA,2019/09/05 12:12,2023/08/28 14:04,2023/08/28 16:08
58,3,8,LCO,0,0,0,NA,2019/09/05 12:12,2023/08/28 14:04,2023/08/28 16:08
59,2,1,AULA 7MO CUATRIMESTRE ,-,0,0,-,2019/09/05 12:18,2019/10/14 11:01,1900/01/01 00:00
60,2,1,AULA 8VO CUATRIMESTRE ,-,0,0,-,2019/09/05 12:42,2019/09/06 09:48,1900/01/01 00:00
61,6,1,(A) (O)t,0,0,0,NA,2019/09/05 15:21,2019/09/20 16:02,1900/01/01 00:00
62,6,1,(A)(T)(O)t,0,0,0,NA,2019/09/05 15:26,2019/09/20 16:02,1900/01/01 00:00
63,6,1,(A)(L)(O),0,0,0,NA,2019/09/05 15:31,2019/09/20 16:02,1900/01/01 00:00
64,6,3,AULA MAGNA,AUD,50,50,NA,2019/09/05 17:04,2022/08/17 13:43,1900/01/01 00:00
65,6,8,LABORATORIO DE COMPUTO,LC,20,32,LAPTOPnCAÑON,2019/09/05 17:04,2022/08/17 13:43,1900/01/01 00:00
66,6,12,ADIMINSTRATIVA,ADMINISTRATIVA,0,169,MUEBLES DE OFICINAnCOMPUTADORASnIMPRESORASnCOPIADORA,2019/09/05 17:04,2022/08/17 13:43,1900/01/01 00:00
67,2,1,AULA 8VO CUATRIMESTRE ,-,0,0,-,2019/09/06 09:48,2019/10/14 11:01,1900/01/01 00:00
68,2,1,AULA 9NO CUATRIMESTRE ,-,0,0,-,2019/09/06 10:07,2019/10/14 11:01,1900/01/01 00:00
69,2,1,AULA OPTATIVAS ,-,0,0,-,2019/09/06 10:39,2019/10/14 11:01,1900/01/01 00:00
70,7,1,Aula virtual 1er cuatrimestre,Virtual,0,0,NA,2019/09/06 15:22,2019/09/10 21:00,1900/01/01 00:00
71,8,1,Todo,0,0,0,NA,2019/09/06 15:42,2019/09/09 11:44,1900/01/01 00:00
72,9,1,AULAS PRIMER CUATRIMESTRE ,0,0,0,NA,2019/09/06 16:52,2019/09/20 15:31,1900/01/01 00:00
73,8,1,A-O,0,30,32,NA,2019/09/09 11:44,2021/11/22 17:39,1900/01/01 00:00
74,9,1,SEGUNDO CUATRIMESTRE,0,0,0,NA,2019/09/09 13:42,2019/09/20 15:31,1900/01/01 00:00
75,9,1,TERCER CUATRIMESTRE,0,0,0,NA,2019/09/09 13:53,2019/09/20 15:31,1900/01/01 00:00
76,9,1,CUARTO CUATRIMESTRE,0,0,0,NA,2019/09/09 14:09,2019/09/20 15:31,1900/01/01 00:00
77,8,1,LALALa,0,0,0,na,2019/09/09 14:09,2019/09/10 14:40,1900/01/01 00:00
78,9,1,QUINTO CUATRIMESTRE,0,0,0,NA,2019/09/09 14:33,2019/09/20 15:31,1900/01/01 00:00
79,9,1,SEXTO CUATRIMESTRE,0,0,0,NA,2019/09/09 17:00,2019/09/20 15:31,1900/01/01 00:00
80,9,1,SEPTIMO CUATRIMESTRE,0,0,0,NA,2019/09/10 13:39,2019/09/20 15:31,1900/01/01 00:00
81,9,1,OCTAVO CUATRIMESTRE,0,0,0,NA,2019/09/10 13:52,2019/09/20 15:31,1900/01/01 00:00
82,8,1,A,0,30,32,NA,2019/09/10 14:40,2021/11/22 17:40,1900/01/01 00:00
83,3,1,AULA GENERAL,PB,20,20,NA,2019/09/10 17:12,2019/09/11 17:09,1900/01/01 00:00
84,11,1,AULA 1ER SEMESTRE ,-,0,0,-,2019/09/11 11:19,2019/09/17 12:34,1900/01/01 00:00
85,11,1,AULA 2DO SEMESTRE ,-,0,0,-,2019/09/11 12:14,2019/09/17 12:34,1900/01/01 00:00
86,11,1,AULA 3ER SEMESTRE ,-,0,0,-,2019/09/11 12:44,2019/09/17 12:34,1900/01/01 00:00
87,11,1,AULA 4TO SEMESTRE ,-,0,0,-,2019/09/12 09:47,2019/09/17 12:42,1900/01/01 00:00
88,11,1,AULA 5TO SEMESTRE ,-,0,0,-,2019/09/12 10:12,2019/09/17 12:42,1900/01/01 00:00
89,11,1,AULA 6TO SEMESTRE ,-,0,0,-,2019/09/12 10:40,2019/09/17 12:42,1900/01/01 00:00
90,11,1,AULA 8VO SEMESTRE ,-,0,0,-,2019/09/12 10:47,2019/09/17 12:42,1900/01/01 00:00
91,11,1,AULA 8VO SEMESTRE ,-,0,0,-,2019/09/12 10:54,2019/09/17 12:42,1900/01/01 00:00
92,12,1,PRIMER CUATRIMESTRE,0,0,0,NA,2019/09/12 13:33,2019/09/23 16:49,1900/01/01 00:00
93,8,1,Aula Primer Cuatrimestre,0,0,0,NA,2019/09/12 13:45,2019/09/12 15:08,1900/01/01 00:00
94,8,1,Aula Segundo Cuatrimestre,0,0,0,NA,2019/09/12 13:49,2019/09/12 15:08,1900/01/01 00:00
95,8,1,Aula Tercer Cuatrimestre,0,0,0,NA,2019/09/12 13:53,2019/09/12 15:08,1900/01/01 00:00
96,12,1,SEGUNDO CUATRIMESTRE,0,0,0,NA,2019/09/12 13:57,1900/01/01 00:00,1900/01/01 00:00
97,12,1,SEGUNDO CUATRIMESTRE,-,0,0,NA,2019/09/12 13:57,2019/09/23 16:49,1900/01/01 00:00
98,8,1,Aula Cuarto Cuatrimestre,0,0,0,NA,2019/09/12 13:59,2019/09/12 15:08,1900/01/01 00:00
99,8,1,Aula Quinto Cuatrimestre,0,0,0,NA,2019/09/12 14:03,2019/09/12 15:08,1900/01/01 00:00
100,8,1,Aula Sexto Cuatrimestre,0,0,0,NA,2019/09/12 14:06,1900/01/01 00:00,1900/01/01 00:00
101,8,1,Sexto Cuatrimestre,0,0,0,NA,2019/09/12 14:09,2019/09/12 15:08,1900/01/01 00:00
102,12,1,TERCER CUATRIMESTRE,0,0,0,NA,2019/09/12 14:10,2019/09/23 16:49,1900/01/01 00:00
103,8,1,Septimo Cuatrimestre,0,0,0,NA,2019/09/12 14:13,2019/09/12 15:08,1900/01/01 00:00
104,8,1,Octavo Cuatrimestre,0,0,0,NA,2019/09/12 14:28,2019/09/12 15:08,1900/01/01 00:00
105,13,1,A PRIMER CUATRIMESTRE,-,0,0,-,2019/09/12 14:32,2019/12/04 13:45,1900/01/01 00:00
106,8,1,Aula Noveno Cuatrimestre,0,0,0,NA,2019/09/12 14:34,2019/09/12 15:08,1900/01/01 00:00
107,12,1,CUARTO CUATRIMESTRE,0,0,0,NA,2019/09/12 14:39,2019/09/23 16:49,1900/01/01 00:00
108,8,1,Aula Décimo Cuatrimestre,0,0,0,NA,2019/09/12 14:40,2019/09/12 15:08,1900/01/01 00:00
109,13,1,201,SEGUNDO PISO,20,24,PINTARRON ELECTRONICO; PROYECTOR; LAP; REESTIRADORES,2019/09/12 14:48,2019/12/04 13:45,1900/01/01 00:00
110,12,1,QUINTO CATRIMESTRE,0,0,0,NA,2019/09/12 14:56,2019/09/23 16:49,1900/01/01 00:00
111,12,1,QUINTO CUATRIMESTRE,0,0,0,NA,2019/09/12 15:06,2019/09/23 16:49,1900/01/01 00:00
112,8,1,A-O,0,30,35,NA,2019/09/12 15:08,2021/11/17 18:47,1900/01/01 00:00
113,12,1,SEXTO CUATRIMESTRE,0,0,0,NA,2019/09/12 15:17,2019/09/23 16:49,1900/01/01 00:00
114,12,1,SEPTIMO CUATRIMESTRE,0,0,0,NA,2019/09/12 15:34,2019/09/23 16:49,1900/01/01 00:00
115,12,1,OCTAVO CUATRIMESTRE,0,0,0,NA,2019/09/12 15:53,2019/09/23 16:49,1900/01/01 00:00
116,12,1,NOVENO CUATRIMESTRE,0,0,0,NA,2019/09/12 15:53,2019/09/23 16:49,1900/01/01 00:00
117,12,1,DECIMO CUATRIMESTRE,0,0,0,NA,2019/09/12 16:02,2019/09/23 16:49,1900/01/01 00:00
