id,pregunta,id_inspeccion_tipo_pregunta,id_inspeccion_apartado,id_inspeccion_categoria,created_at
1,¿Las aulas tienen adecuada y suficiente ventilación?,1,1,1,2018-09-11 06:00:00
2,¿Las aulas tienen adecuada y suficiente iluminación?,1,1,1,2018-09-11 06:00:00
3,¿Son adecuadas las condiciones de mantenimiento?,1,1,1,2018-09-11 06:00:00
4,¿Las aulas cuentan con nomenclatura?,1,1,1,2018-09-11 06:00:00
5,¿Las aulas cuentas con pintarrón en buen estado?,1,1,1,2018-09-11 06:00:00
6,¿Las aulas cuentan con botes de basura?,1,1,1,2018-09-11 06:00:00
7,Capacidad mínima de las aulas (personas):,2,1,1,2018-09-11 06:00:00
8,Capacidad máxima de las aulas (personas):,2,1,1,,2018-09-11 06:00:00
9,¿El plantel cuenta con las aulas suficientes para el alumnado?,1,1,2,2018-09-11 06:00:00
10,¿Cuenta con constancia de INFEJAL actulizada?,1,2,3,2018-09-11 06:00:00
11,¿Cuenta con el dictamen de protección civil actual?,1,2,3,2018-09-11 06:00:00
12,Número de extintores:,2,2,3,2018-09-11 06:00:00
13,¿Los extintores cuentan con recarga vigente?,1,2,3,2018-09-11 06:00:00
14,¿Se cuenta con señalamientos de evacuación?,1,2,3,2018-09-11 06:00:00
15,¿El laboratorio cuenta con nomenclatura?,1,3,4,2018-09-11 06:00:00
16,¿El laboratorio cuenta señalamientos de evacuación?,1,3,4,2018-09-11 06:00:00
17,¿El laboratorio cuenta con extintor?,1,3,4,2018-09-11 06:00:00
18,¿El laboratorio cuenta con reglamento de uso?,1,3,4,2018-09-11 06:00:00
19,¿El laboratorio cuenta con horarios de atención?,1,3,4,2018-09-11 06:00:00
20,¿El laboratorio se observa limpio e higiénico?,1,3,4,2018-09-11 06:00:00
21,¿Se cuenta con laboratorios y talleres especiales?,1,3,4,2018-09-11 06:00:00
22,De ser positiva la respuesta en la pregunta anterior,3,3,4,2018-09-11 06:00:00
23,¿Se cuenta con una iluminación  adecuada y suficiente?,1,3,5,2018-09-11 06:00:00
24,¿Se cuenta con una ventilación adecuada y suficiente?,1,3,5,2018-09-11 06:00:00
25,¿La biblioteca tiene adecuada y suficiente ventilacion?,1,4,6,2018-09-11 06:00:00



