id,usuario_id,nombre,razon_social,clave_ies,historia,vision,mision,valores_institucionales,created_at
1,143,Universidad Cuauhtémoc Plantel Guadalajara,Universidad Cuauhtémoc Plantel Guadalajara S.C,NULL,"El 3 de noviembre de 1977 se constituye en la ciudad de Puebla la Universidad Cuauhtémoc en una asociación civil dedicada exclusivamente a la educación superior misma que no persigue fines de lucro ni partidismo político o religioso alguno. Fue fundada por un grupo de mexicanos que preocupados por el futuro de nuestro país decidieron crear una institución que se dedicara a la formación y superación de estudiantes de nivel superior con el fin de que a su vez se convirtieran en profesionistas de distinción intelectual componente de nuestra Nación. Sus Planes y Programas de Estudio tienen reconocimiento por parte de la Secretaría de Educación Pública Federal lo cual les da validez oficial en toda la República Mexicana y en los países con los que México mantiene relaciones diplomáticas. El campus Puebla inicia con las escuelas de Turismo y Administración en enero de 1977 posteriormente en agosto de l978 abre la carrera de Contaduría en agosto de 1981 continúa con las carreras de Ingeniería Industrial Arquitectura e Ingeniería Civil. En agosto de 1983 se anexa a esta lista las carreras de Derecho Diseño Industrial y Psicología en agosto de 1986 da inicio la Licenciatura en Sistemas en agosto de 1993 Ciencias y Técnicas de la Comunicación y es en agosto de 1994 cuando se abren las carreras más jóvenes dentro de la U. C.: Diseño Gráfico e Ingeniería en Sistemas Computacionales. La Universidad Cuauhtémoc abre sus puertas en la ciudad de Guadalajara en agosto de 1992 ofreciendo diez licenciaturas y preparatoria. Para agosto de 1993 la U. C. Plantel Guadalajara amplía su oferta académica a 12 carreras y debido a la creciente demanda de alumnos por los servicios educativos que ofrece la Universidad el 12 de octubre de 1998 inaugura su Plantel Universitario en una superficie de 10 hectáreas con aulas suficientes y adecuadas laboratorios (de Computo Radio y Televisión) áreas deportivas (campo profesional de fútbol totalmente empastado cancha de tenis básquetbol voleibol gimnasio etc.) jardines cafetería y oficinas administrativas ubicada en Av. del Bajío # 5901 Frac. El Bajío Zapopan Jal. En enero de 1993 se funda la Universidad Cuauhtémoc Plantel Querétaro ofertando las licenciaturas en Contaduría Turismo Administración Comercio Internacional Odontología Derecho Mercadotecnia Sistemas Ciencias y Técnicas de la Comunicación Diseño Gráfico e Ingeniería en Sistemas Computacionales. En éste mismo período La Universidad Cuauhtémoc abre sus puertas en la ciudad de San Luís Potosí ofertando las licenciaturas en Contaduría Turismo Administración Comercio Internacional Odontología Derecho Mercadotecnia Sistemas Ciencias y Técnicas de la Comunicación Diseño Gráfico e Ingeniería en Sistemas Computacionales. En la ciudad de Aguascalientes La Universidad Cuauhtémoc inicia sus actividades en agosto de 1993 citó en Av. Convención de 1914 No. 808 Colonia Circunvalación Norte de la Cd. de Aguascalientes ofreciendo 8 Licenciaturas y Bachillerato. Empero debido a la creciente demanda de alumnos por los servicios educativos que proporciona la Universidad el 12 de abril de 1996 inaugura su campus universitario en Av. Independencia No. 100 Col. Trojes de Alonso incrementando en 16 su número de carreras mismas que a continuación se enlistan: Administración de Empresas Arquitectura Comercio Internacional Comunicación Contaduría Pública Derecho Diseño Gráfico Diseño Industrial Sistemas Computacionales Ingeniería en Sistemas Ingeniería Industrial Mercadotecnia Nutrición Odontología Psicología y Turismo. Recientemente en el año 2003 la Universidad Cuauhtémoc edifica el campus Tepic y en agosto del 2004 la Universidad abre su campus en la ciudad de Toluca. A través de éstos años de experiencia la política de la Institución se ha consolidado en la formación de profesionistas con todos los elementos teóricos y prácticos que les permita incorporarse al campo laboral con eficiencia y calidad además de desarrollar y fortalecer sus valores éticos y morales para lograr una educación integral y un profesional útil a la sociedad. Cabe destacar que la mayoría de los alumnos egresados de la Institución están integrados en el sector laboral inclusive algunos de ellos ocupando puestos importantes al poco tiempo de haber concluido su formación académica de grado.",En 2025 la Universidad Cuauhtémoc es reconocida en el país por la calidad educativa de sus programas académicos la formación integral de sus estudiantes su compromiso social y ética profesional destacando por su enfoque global y competencia internacional.,Formar de manera integral personas competentes cuya visión global y vanguardista fortalece su compromiso con la mejora de la sociedad.,"Los valores como ideales educativos de la institución son Ética Fortaleza Honestidad Humildad Justicia Responsabilidad Servicio Tolerancia. ",2019/07/30 12:56,2023/08/28 16:42
2,150,Centro Universitario Enrique Díaz de León,Centro Universitario Enrique Díaz de León A.C.,NULL,"El Centro Universitario Enrique Díaz de León es una institución de educación superior privada fundada en 2002 su modelo educativo se declara como constructivista basado en el modelo de competencias con la experiencia de 45 años en el área educativa y 11años en el área de la salud tiene por MISIÓN “Servir en la transformación de la sociedad a través de una educación basada en calidad excelencia innovación y valores fomentar la formación humana y profesional en nuestros alumnos para que trasciendan socialmente como ciudadanos competitivos críticos y activos comprometidos con la permanente búsqueda de la verdad y una actitud de responsabilidad respeto y solidaridad para con su comunidad”. Y por VISIÓN “Ser una institución reconocida por su calidad educativa competitividad y compromiso en la transformación de la sociedad respondiendo a las demandas de la globalización.” Nuestro proyecto educativo se respalda con 11 años de experiencia a partir de Centro Educativo LIPRO el cual se fundó en el año 2002 en educación universitaria y posteriormente cambio su razón social a Instituto Vocacional Enrique Díaz de León. La Licenciatura en Psicología existe bajo un esquema de incorporación a la Universidad de Guadalajara (U. de G.) y de acuerdo a la normatividad del registro de validez oficial de estudios la secuencia curricular así como los departamentos academias y estructura organizativa se supedito a lo establecido por el “Centro Universitario de Ciencias de la Salud” de la U. de G. a través de la unidad de enseñanza incorporada. (REVOE 2006). La oferta educativa del Centro Universitario Enrique Díaz de León es para estudiantes de diversos niveles sociales con la finalidad que puedan acceder a la educación superior ya que uno de los aspectos de la filosofía institucional refiere a la educación como un derecho de todos y no de unos cuantos privilegiados que permite disminuir las diferencias sociales logrando la equidad y la justicia.","Ser una institución reconocida por su calidad educativa competitividad y compromiso en la transformación de la sociedad respondiendo a las demandas de la globalización. En la UNEDL impera la convicción de que es posible construir espacios y formas de convivencia humana en los que favorezcan actitudes acciones y fines colaborativos que coadyuven en la construcción del conocimiento el desarrollo del avance científico tecnológico y la acción social incluyente.",Servir en la transformación de la sociedad a través de una educación basada en calidad excelencia innovación y valores fomentar la formación humana y profesional en nuestros alumnos para que trasciendan socialmente como ciudadanos competitivos críticos y activos comprometidos con la permanente búsqueda de la verdad y una actitud de responsabilidad respeto y solidaridad para con su comunidad.,"1.- Autonomía: Es la elección responsable y libre de los medios para la realización del proyecto de vida que como persona nos hemos trazado. 2.- Democracia: Implica respetar las diferencias estimular el ejercicio de la ciudadanía la solidaridad social el trabajo en equipo y la comprensión del otro. Con ello se logrará la armonía la paz y la pluralidad. 3.- Solidaridad: Es la adhesión ilimitada y total a una causa situación o circunstancia que implica asumir y compartir tanto beneficios como riesgos. Es la adopción de una actitud de participación y apoyo que se muestra frente a los problemas actividades o inquietudes de otro u otros. 4.- Respeto: Es el reconocimiento de la dignidad humana. Implica conocer el valor propio y honrar el valor de los demás. 5.- Responsabilidad: Implica dar cuenta o responder de los actos propios ante uno mismo y ante los demás incluye el aprender a auto-limitarse y no esperar que los limites sean impuestos desde el exterior sino que se fundamenten en los valores propios y en el reconocimiento de los derechos de los demás. 6.- Búsqueda de la Verdad: Es la constante inquietud de buscar respuestas a las interrogantes que la vida nos presenta abatiendo los prejuicios y la ignorancia. ",2019/09/02 12:27,2023/09/07 12:34
3,151,Centro Universitario UNE,Centro Universitario UNE Asociación Civil,NULL,"Con la misión de formar verdaderos hombres dispuestos a forjar un México grande próspero libre y unido el 12 de Diciembre de 1999 nació Centro Universitario UNE con el nombre de Instituto Harvard 2000” ofreciendo cursos de Idiomas Inglés Francés y asesoría para alumnos de secundaria y preparatoria en el sistema abierto a domicilio de Chimalhuacán No. 3574. Es hasta 1995 cuando se solicita el Reconocimiento de Validez Oficial de Estudios para Comunicación ante la Universidad de Guadalajara y queda registrada con el nombre de Centro Universitario UNE. El Reconocimiento de Validez Oficial de Estudios fue solicitado para el Plantel Plaza del Sol ubicado en Chimalhuacán No. 6. Debido a la gran aceptación de la sociedad jalisciense hacia nuestra Institución se toma la decisión de ofertar el nivel Superior buscando el Reconocimiento de Validez Oficial de Estudios ante la Universidad de Guadalajara para el plantel en Av. Chapultepec No.137 Col. Moderna las carreras de mayor demanda en el ámbito laboral de nuestra localidad siendo estas: Comunicación Mercadotecnia Administración Pública y Turismo. Es en octubre de 1997 cuando se crea el Departamento de Capacitación y Actualización Docente y se lleva a cabo el primer Diplomado denominado: Filosofía de la Educación. Posteriormente se elaboran los programas para realizar los Diplomados de: Actualización Pedagógica Antropología Filosófica Psicología Educativa de Apoyo al Docente y Filosofía que de manera ininterrumpida se han venido haciendo con la finalidad de capacitar a nuestro personal docente en las Ciencias de la Educación. También en 1997 se empezó a editar la Revista Docencia con el propósito de consolidar la formación de nuestros maestros. En 1998 cuando empezó el prestigio e imagen de Centro Universitario UNE y dada su demanda fue solicitada ante la Universidad de Guadalajara la Incorporación de las Licenciaturas de Negocios Internacionales y Derecho para los Planteles de Plaza del Sol y Chapultepec. El Centro Universitario UNE consciente del espíritu de superación de la clase trabajadora para brindarles un mejor servicio a nuestros alumnos de secundaria y preparatoria abierta. Abre sus puertas en el mes de diciembre de 1998 el Plantel Condoplaza ubicado en Av. Del Sol. No. 287. Donde posteriormente sería solicitado ante la secretaria de Educación Pública el Bachillerato en la Modalidad Intensiva Semiescolarizada. Pensando en llevar la Universidad hacia donde más se necesita abre sus puertas el Plantel Centro Médico en el mes de Septiembre de 1998 ubicado en José María Lozano No. 1077 ofertando tanto el nivel Medio Superior y Superior. Dado el gran número de alumnos con que contaba nuestra institución en el área de Plaza del Sol en el mes de septiembre de 1999 se abre el plantel López Mateos ubicado en Av. López Mateos No. 2220 frente a Plaza del Sol ofertando las Licenciaturas incorporadas a la Universidad de Guadalajara. En Septiembre de 1999 se extienden nuestros servicios al Plantel Milenio ubicado en Av. López Mateos No. 4154 ofertando el Bachillerato y Licenciaturas incorporadas a la Universidad de Guadalajara. Es en el mes de Febrero del año 2000 cuando se toma la decisión de ofrecer a la juventud estudiosa de Guadalajara el Plantel Centro ubicado en el corazón de la Ciudad Colón No. 90 donde se ofertan tanto el nivel Medio Superior como el Superior dichos niveles están incorporados tanto a la Universidad de Guadalajara como a la Secretaria de Educación Jalisco. En el mes de mayo del 2000 y ante la necesidad de cubrir la demanda existente para la Licenciatura en Ciencias de la Comunicación Centro Universitario UNE obtiene el Reconocimiento de Validez Oficial de Estudios para esta Licenciatura antes la Secretaria de Educación Jalisco. Iniciando en el Plantel Pirámide ubicado en Chimalhuacán No. 3574. Dada la demanda en esta Licenciatura estos servicios de trasladan a un nuevo Plantel ubicado en Rincón de los Ahuehuetes No. 3309 y de esta manera nace el Plantel Acacias en Septiembre del 2001 ofertando también la licenciaturas de Psicología Informática Administrativa e Ingeniería Industrial mismas que fueron incorporadas por la Secretaría de Educación Jalisco para los Planteles Milenio Plaza del Sol Centro y Acacias. Buscando una mejor atención a los alumnos de la Licenciatura en Derecho y dado el crecimiento de dicha carrera en Septiembre del 2002 se decide abrir un plantel exclusivo para dicha Licenciatura abriendo sus puertas el Plantel Américas ubicado en Av. Américas No. 696. Con el firme propósito de seguir colaborando con la educación en Jalisco y lograr la dignificación y el crecimiento de un mayor número de jóvenes. Centro Universitario UNE abre sus puertas en Febrero del 2004 el Plantel de Puerto Vallarta ubicado en Blvd. Francisco Medina Ascencio No. 2180 ofertando las Licenciaturas incorporadas a la Universidad de Guadalajara y a la Secretaría de Educación Jalisco. En el año 2004 se incorporan un Plantel más en el área de Plaza del Sol nos referimos al plantel Quetzal ubicado en Chimalhuacán No. 3569 en este Plantel se ofertan las Licenciaturas de Mercadotecnia Negocios Internacionales Turismo y Derecho. En estas instalaciones se encontraba también la Dirección de Servicio Social y Titulación la Coordinación del Departamento de Capacitación y Actualización docente y además es la sede donde se imparten los Diplomados. En el año 2006 llega Centro Universitario UNE a Tepic Nayarit abre su plantel en el corazón de esta Ciudad ubicado en la Calle Abasolo No.25 aquí se ofertan los niveles Medio Superior y Superior incorporados a la Secretaría de Educación en Nayarit. En febrero del 2007 se abre el Plantel de Vallarta ubicado en Av. Vallarta No. 1458 Allí se ofertan las Licenciaturas en Comunicación Administración Pública Mercadotecnia Negocios Internacionales Turismo Psicología Enfermería y Psicología todas estas licenciaturas incorporadas a la Universidad de Guadalajara. Además en este Plantel se encuentra el Instituto de Idiomas de Centro Universitario UNE. En agosto del 2007 Centro Universitario UNE da un paso más en su crecimiento ampliando su oferta educativa a las Áreas de la Salud y logra a través de la Universidad de Guadalajara la incorporación de las Carreras de Odontología Psicología Psicología y Enfermería. Para estas licenciaturas se construyó la planta física de acuerdo a las necesidades que requiere cada uno de los programas. El Plantel está ubicado en la Av. López Mateos Sur No. 4175 Col. La Giralda. Debido a la gran aceptación que ha tenido la Institución en la sociedad de Puerto Vallarta en febrero del 2008 se abre el segundo Plantel ubicado en Revolución No. 558 Colonia las Juntas. En este Plantel se imparten Diplomados de Computación del idioma Inglés y el Nivel Medio Superior y Superior con estudios Incorporados a la Secretaría de Educación Jalisco. Actualmente contamos con 18 planteles entre los que destaca la reciente apertura de los planteles Tlaquepaque Tlajomulco Tonalá y Tesistán en los que se oferta secundaria y bachillerato en diferentes modalidades y licenciaturas maestrías y posgrados incorporados a la SICyT y UDG logrando más de 40000 egresados.",Ser la mejor Universidad en Guadalajara formando integralmente a hombres y mujeres que lleven a México Por un camino hacia la Excelencia.,Nuestra Misión es formar de manera integral verdaderos profesionales que le den grandeza y prestigio a México y dignidad a la familia”.,"Los Valores que institucionales se viven día con día al formar profesionales con un alto nivel de calidad medibles para los estándares internacionales y que dará lugar a la consecución de nuestros objetivos de la creatividad la perfección y el servicio. Nuestros egresados se distinguen por  una sólida actitud de conciencia humana que considera los cambios socio-culturales que se producen día a día y por su actitud responsable  e innovadora. El valor intrínseco de nuestra educación no es el ser el medio para cualquier fin sino que es un fin en sí mismo. Hacemos de la educación un proceso de crecimiento continuo y caracterizado por profesionistas con amplio sentido de liderazgo capacidad de trabajar bajo presión creatividad responsabilidad apreciación de la calidad del trabajo respeto y lealtad. ",2019/09/02 14:03,2023/09/13 09:23
4,152,Centro de capacitación en ciencias forenses ,Instituto Jalisciense de Ciencias Forenses,NULL,"-El 8 de junio de 1998 fue creado el Instituto Jalisciense de Ciencias Forenses mediante un decreto del Congreso del Estado y colocó a Jalisco a la vanguardia en la innovación de modelo jurídico al otorgar a los peritos forenses la autonomía técnica de las autoridades que procuran e imparten justicia. Desde entonces el Instituto se ha mantenido al frente en la carrera de aportar metodología y tecnología al combate frontal contra la delincuencia al utilizar las herramientas más modernas por peritos capacitados y actualizados continuamente en sus disciplinas. Hoy el Instituto es un organismo con reconocimiento en el país y en el mundo gracias al profesionalismo de sus peritos quienes han participado en congresos programas e investigaciones internacionales en Europa y América. ",#�NOMBRE?,"- Contribuir con certeza científica a la aplicación y administración de justicia mediante la elaboración de dictámenes especializados en valuación forense en beneficio de la sociedad jalisciense. ","-Honestidad - Equidad - Respeto - Ética Profesional - Integridad - Responsabilidad",2019/09/03 13:45,2022/08/17 13:43
5,153,Centro de Valores,Centro de Valores S.C.,NULL,-,Ser una comunidad comprometida con la sociedad una instancia de integración formal la mejor opción de enseñanza investigación capacitación y consultoría egresar profesionistas comprometidos con el fomento de los valores y principios como la innovación el crecimiento el desarrollo la creatividad y la generación de conocimientos para trascender desarrollando y enriqueciendo la mente y el espíritu de los individuos en una sociedad más equitativa y congruente hacia un cambio y superación constante.,Desarrollar impartir y difundir programas de enseñanza investigación capacitación y consultoría para el desarrollo profesional y humano de los participantes así como la formación de individuos congruentes con el entorno con alto sentido de responsabilidad creatividad innovación competencia y aplomo para el desarrollo y mejoramiento de su calidad de vida de la sociedad en general.,El Centro de Valores es una institución que ha basado sus avances en el fomento e instauración de los valores y principios que fueron la base desde su fundación. Tales como: el desarrollo del carácter la competencia la efectividad la creación la creatividad la innovación la prevención la responsabilidad el respeto el cumplimiento y el trabajo en equipo.,2019/09/04 12:26,2023/06/30 13:13
6,155,Formación Internacional,NULL,NULL,PENDIENTE,La institución incluyente flexible innovadora promotora de la educación continúa para toda la vida. Enfoque innovador en su enseñanza generadora de conocimiento en bien de la sociedad.,Somos una institución con compromiso ético y social que satisface las necesidades de educación superior promoviendo la innovación y la calidad se fundamenta en principios humanistas de justicia social equidad convivencia democrática y buscando siempre la prosperidad de la comunidad en un entorno de paz.,NULL,2019/09/06 12:22,2019/09/10 21:00,2021/08/25 13:49
7,157,Centro Universitario Azteca,Centro Educativo Jalisco A.C.,NULL,-,"Ser líderes en la formación de personas y ofrecer a la sociedad jalisciense una alternativa de educación con un alto grado de calidad y excelencia en todos los niveles educativos. Dar continuidad a los educandos desde preescolar y primaria hasta que puedan egresar de nuestras licenciaturas y continuar con una especialidad o maestría con un perfil propio del Centro Universitario Azteca. Generar egresados reconocidos dentro de la sociedad como personas capaces de solucionar problemas competitivas en sus áreas de trabajo críticas y creativas características que se traducirán en una mejor calidad de vida.","El ser y que hacer de Centro Universitario Azteca es incorporar o reincorporar al sistema Educativo Nacional a quienes se han mantenido alejados de él o lo han abandonado porque la enseñanza impartida no se adapta a sus necesidades. Tenemos la misión de impartir una educación que oriente el conocimiento al servicio y bienestar de la persona. Una educación comprometida con la búsqueda de la verdad la justicia la libertad la honestidad el respeto y la solidaridad. Estructurar en el ser humano los cuatro pilares del aprendizaje útiles en el transcurso de la vida como lo concibe la UNESCO. a. Aprender a conocer b. Aprender a hacer c. Aprender a convivir d. Aprender a ser-","Ética Como principio orientador de las acciones decisiones tanto institucionales como personales. Libertad y desarrollo de pensamiento crítico. Promovemos el debate educativo creativo y crítico de las ideas así como la tolerancia de los que discrepan. Responsabilidad Compromiso en cumplir con deberes y normas en beneficio tanto personal como de la comunidad. Honestidad Expresarse en todas las acciones que realiza en su papel como persona como el respeto de los deberes y derechos individuales Excelencia Definida como el conjunto de prácticas sobresalientes en gestión institucional y la consecuencia de resultados basados en principios de eficiencia y eficacia. Lealtad Orientada a servir con franqueza sinceridad y honradez. Sentido de Pertenencia Hacer coincidir los objetivos Institucionales con los de la comunidad buscando la armonía y complementación de ambas. Democracia Permitir a todos los miembros de la comunidad Universitaria participar de los derechos y obligaciones establecidas en el marco de las políticas de la Institución. Emprendedor Definida como aquella persona innovadora flexible dinámica capaz de asumir riesgos creativa y orientada al crecimiento personal en beneficio de la Institución y en el suyo propio.-",2019/09/06 15:14,2023/07/04 14:15
8,158,Instituto Integral de Arte y Diseño ,Instituo Integral de Arte y Diseño A.C,NULL,La idea de formar un Instituto especializado en interiorismo y diseño surge a partir de la inquietud de nuestra fundadora la reconocida interiorista Karen Collignon quien cuenta con más de 40 años de experiencia en el ramo es así que buscando el poder transmitir sus conocimientos a las nuevas generaciones desarrolla en conjunto con su equipo un plan para formar a profesionales que aporten soluciones a las necesidades de mejores espacios habitables laborales y de servicio entre otros cumpliendo con la demanda de la sociedad actual para que estas generaciones de alumnos a su vez puedan ejercer en el campo profesional del diseño actualmente el IIAD capacita en la rama del interiorismo a profesionales del medio.,"Formar a nuestros alumnos a través de valores y principios de calidad para garantizar su desarrollo productivo promoviendo el conocimiento y la innovación en las diferentes disciplinas que enseñamos para proporcionarles un aprendizaje efectivo brindándoles todas las herramientas necesarias para destacar en la industria del diseño y el interiorismo. ","Formar a nuestros alumnos a través de valores y principios de calidad para garantizar su desarrollo productivo promoviendo el conocimiento y la innovación en las diferentes disciplinas que enseñamos para proporcionarles un aprendizaje efectivo brindándoles todas las herramientas necesarias para destacar en la industria del diseño y el interiorismo. ","Los valores que integran nuestra filosofía empresarial son producto de nuestra experiencia en el ámbito de la formación profesional cada uno de estos valores integran la filosofía que nos sirve para formar a nuestros egresados quienes son un orgullo para nuestra institución. Nuestro modelo educativo es integral cumple con los requerimientos práctico teóricos de la enseñanza profesional y tiene como objetivo el proporcionar un esquema integral de aprendizaje con todos los elementos necesarios para una formación académica que tiene como objetivo fomentar el emprendedurismo.",2019/09/10 11:32,2020/09/29 13:49
9,159,Instituto Superior de Catequética,Instituto de Ética y Terapia de Jalisco AC,NULL,"Desde hace algunos años la educación religiosa como la educación en México busca actualizar los modelos educativos y transformar su calidad pretende que la educación religiosa repercuta en el desarrollo de la sociedad formando ciudadanos con creencias solidas y sanas expresiones de su religiosidad que consoliden la cultura e identidad nacional.",Ser una instancia formativa de nivel universitario que promueva la reflexión e investigación catequética de acuerdo a los valores éticos sociales y religiosos según las necesidades y avances de lo catequético capaces de actuar con profesionalismo ante lasrealidades educativas y sociales así como a los desafíos de la cultura actual.,"Formarprofesional y humanamente a las personas con espíritu de servicio y compromiso social educativo con principios éticos y de inspiración cristiana para ofrecer una adecuada educación catequética y de valores que generen nuevo conocimiento a través de los proyectos de investigación de las realidades de la región y del país.","Respeto Servicio Honestidad Corresponsabilidad Criticidad Trabajo en equipo Tolerancia Persistencia Coherencia",2019/09/10 17:21,2020/07/14 15:27
10,160,UEA Centro Universitario,UEA Centro Universitario A.C.,NULL,"UEA  fue fundada en 1991 como UEA CENTRO DE ESTUDIOS ACADÉMICOS con su primer plantel en Guadalajara e inaugurada por el Maestro Juan José Arreola y el Presidente Municipal Covarrubias Ibarra.  A través de los años UEA ha logrado un reconocimiento en la sociedad como una institución sólida y ha permanecido en desarrollo continuo lo cual ha permitido que UEA devuelva a la sociedad miles de egresado desde su concepción. La trascendencia que  ha  tenido  UEA  a  través  de 19 años  ha  permitido formar  una  institución consolidada con una experiencia profesional en las áreas educativas en las que ha incursionado desarrollando un concepto académico único y especializado. Una de las características únicas que tiene en la actualidad UEA es su programa educativo integral a través de la creación del Centro Universitario especializado en las áreas de Arquitectura Diseño de Modas Diseño de Interiores y Ambientación Diseño Gráfico y Medios y Artes Audio Visuales  logrando ser el único CENTRO UNIVERSITARIO con especialidad.",En el 2020 seremos un centro universitario reconocido a nivel estatal y nacional por fomentar el desarrollo sustentable de nuestro Estado y mejorar la calidad de vida de nuestros alumnos y egresados mediante el ofrecimiento de servicios educativos calidad pertinentes y en estrecha vinculación con el sector productivo,El centro universitario UEA tiene como misión formar integralmente a profesionistas líderes en diferentes ámbitos del conocimiento dentro de los estándares educativos de calidad y de pertinencia regionales estatales nacionales e internacionales con un alto sentido de responsabilidad social ética profesional y valores.,"- Respeto: Nuestra comunidad académica fomentará el trato con cordialidad y tolerancia tanto al interior de nuestra institución como en su vida personal y profesional a través del reconocimiento de los derechos de cada persona y su dignidad humana así como el aprovechamiento sustentable de los recursos naturales. - Desarrollo integral: La comunidad académica fomentará el desarrollo integral de las personas expresión respetuosa de las ideas en apego a los valores sociales la filosofía y valores de esta institución. - Honestidad: La comunidad académica de nuestra institución se regirá con honestidad en apego a la verdad y justicia mismas que serán transmitidas a las situaciones de su vida cotidiana y profesional. - Imparcialidad: Nuestra comunidad académica se conducirá con equidad sin conceder privilegios o preferencias siempre en apego a la justicia.",2019/09/11 16:33,2021/10/15 19:07
