id,institucion_id,domicilio_id,tipo_inmueble_id,correo1,correo2,correo3,clave_centro_trabajo,telefono1,telefono2,telefono3,pagina_web,redes_sociales,especificaciones,dimensiones,created_at,updated_at,deleted_at
1,1,14,1,planesyprogramas@ucg.edu.mx,murzua@ucg.edu.mx,NULL,NULL,36-82-05-50,36-82-05-33,NULL,http://www.ucg.edu.mx/,NULL,NULL,632000,2019/07/30 13:34,2019/09/12 13:04,2019/10/15 00:00
2,2,689,2,rectoria@unedl.edu.mx,ces324@unedl.edu.mx,rectoria@unedl.edu.mx,14PSU0271H,3338273000,3338273002,NULL,https://www.unedl.edu.mx/portal/, Twitter: @UnedlU YouTube: https://www.youtube.com/channel/UCb1gn6tWP-s19car8cfYwwA; Facebook: https://www.facebook.com/unedl.universidad; Instagram: https://www.instagram.com/unedl.universidad/,"-Av Enrique Díaz de León Sur 324 y 336
Col Americana; Americana; 
C.P. 44160 Guadalajara; Jal.
Entre las calles de Libertad y Miguel Blanco 
Coordenadas actualizadas y correctas:   20°40'19""N   103°21'35""W",1020, 2019/09/02 13:00,2023/09/07 12:11,
3,3,650,1,ggchalita@universidad-une.com,edelacruz@universidad-une-com,lpbautista@universidad-une.com,14PSU0319K,80000863,8000 833,8000 828,https://universidad-une.com/, Facebook.com/UniversidadUN; Twitter: @universidadune; Instagram: une_universidad,NA,27314,2019/09/02 14:20,2023/09/13 09:23,
4,4,20,4,marco.cuevas@jalisco.gog.mx,rogelio.barba@jalisco.gob.mx,beatriz.chavez@jalisco.gob.mx,NULL,30309446,303039417,30309486,NULL,NULL,NULL,NULL,2019/09/03 14:02,2019/09/05 16:09,2019/10/15 00:00
5,5,589,2,rosalio@centrodevalores.com,info@centrodevalores.com,alejandroluna@centrodevalores.com,14PSU0265X,38545463,38540620,38541003,https://centrodevalores.edu.mx/, -,-,227.8, 2019/09/04 12:41,2023/06/30 13:14,
6,4,23,3,gustavo.quezadajalisco.gob.mx,beatriz.chavez@jalisco.gob.mx,beatriz.chavez@jalisco.gob.mx,-,30309446,303039486,303039486,-,-,-,10487,2019/09/05 16:37,2022/08/17 13:43,
7,6,24,4,Lotzy.Fonseca@formacioninternacional.mx,JulioJesus@formacioninternacional.mx,Julian@formacioninternacional.mx,NULL,3315947764,NULL,NULL,https://formacioninternacional.mx/, https://www.facebook.com/Formacion-internacional-1985728775062457/?ref=settings,NULL,NULL, 2019/09/06 12:51,2019/09/10 21:00,
8,3,26,1,ggchalita@universidad-une.com,edelacruz@universidad-une.com,lpbautista@universidad-une.com,14PSU0322Y,8000 063,8000 833,8000 828,https://universidad-une.com/, www.facebook.com/UniversidadUNE; Instagram: une_universidad; Twitter: @universidadune,NA,11400, 2019/09/06 15:16,2022/05/31 18:14,
9,86,28,2,uniazteca@hotmail.com,-,-,-,36134524,36134521,33-36-58-38-86,https://cuazteca.edu.mx/new/, www.facebook.com/universidadaztecadeguadalajara,EL plantel se encuentra ubicado en la avenida Juárez; entre la calle 16 de septiembre y calle Colón. ,3300, 2019/09/06 16:25,2023/07/12 13:15,
10,2,29,4,dir.academia@instituto.karencollignon.com,info@instituto.karencollingnon.com,administracion@karencollignon.com.mx,NULL,3336161559,4.43E+11,3336161559,NULL, https://web.facebook.com/InstitutiKC/; @ikc_instituto_karen_collingnon,NULL,NULL,2019/09/09 12:54,2019/09/10 10:19,2019/10/22 10:41
11,8,30,4,dir.academica@iiad.edu.mx,mmorales@iiad.edu.mx,NULL,14PSU0372F,3336161559,3331904015, ,http://iiad.edu.mx/, https://www.facebook.com/InstitutoIIA;IG: iiad.mx,NULL,NULL,2019/09/10 11:41,2020/09/30 11:55,
12,9,31,2,subdireccion@isca.mx,coordinacionacademica@isca.mx,controlescolar@isca.mx,14PSU0316N,3318152060,33186666,NULL,http://isca.mx/, -,-Se puede ir por la av. Republica pasando Belisario Domínguez 3 calles dar vuelta a la izquierda por Venustiano Carranza hasta la de federación dar vuelta a la derecha  por federación una cuadra arriba es la de Román Morales dar vuelta a la derecha y a media cuadra esta el domicilio; tiene un portón de Color amarillo enfrente esta la escuela primaria  No. 48 Agustín Yáñez.,3234, 2019/09/10 17:29,2023/02/07 17:21,
13,1,483,1,planesyprogramas@ucg.edu.mx,murzua@ucg.edu.mx,NULL,14PSU9005T,36-82-05-50,36-82-05-33,NULL,http://www.ucg.edu.mx/, FACEBOOK: Ucg Plantel Guadalajara,El plantel consta de 4 edificios para el nivel de licenciaturas estacionamiento privado para estudiantes; maestros y administrativos.,632000,2019/09/12 13:25,2023/08/28 16:42,
14,10,403,2,controlactividadesuea@hotmail.com,rectoria.uea@hotmail.com,lizperez.uea@gmail.com,14PSU0328S,3336151333,3339683881,3323833212,https://ueauniversidad.mx/, -,-,1180.7, 2019/09/13 14:35,2021/10/15 18:52,
15,5,38,4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,-,NULL,2019/09/23 14:31,2019/10/01 15:56,2019/10/01 15:56
16,10,39,4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2019/09/24 14:37,2019/09/25 17:04,2019/09/26 00:00
17,10,40,4,universidaduea@hotmail.com,universidaduea3@hotmail.com,ueauea1@gmail.com,-,36151333,36153334,36168298,-,-,-,NULL,2019/09/24 14:56,2019/09/24 15:09,2019/09/26 00:00
18,10,41,4,universidaduea@hotmail.com,universidaduea3@hotmail.com,ueauea1@gmail.com,-,36151333,36151334,36168298,-,-,-,NULL,2019/09/24 15:17,2019/09/25 16:40,2019/09/26 00:00
19,11,43,4,NULL,NULL,NULL,NULL,36302345,36134644,NULL,http://www.universidadinnovacion.com/, NULL,NULL,NULL,2019/09/25 15:17,2019/09/30 13:37,2019/10/15 00:00
20,11,44,2,contacto@universidadinnovacion.edu.mx,sergio@universidadinnovacion.edu.mx,fongmiguel@hotmail.com,14PSU0292U,(33) 36302345,(33) 36134644,33 2390 3416,https://universidadinnovacion.edu.mx, Facebook:https://www.facebook.com/UInnovacion,-,939, 2019/09/30 13:42,2023/07/17 14:12,
21,3,45,2,ggchalita@universidad-une.com,edelacruz@universidad-une.com,lpbautista@universidad-une.com,En trámite,8000 863,8000 828,8000 833,https://universidad-une.com/, Facebook: www.facebook.com/UniversidadUNE; Instagram: une_universidad_; Twitter: @universidadune,NA,NULL,2019/10/01 18:50,2023/02/07 17:53,
22,3,654,2,ggchalita@universidad-une.com,edelacruz@universidad-une.com,lpbautista@universidad-une.com,14PSU0357N,8000 863,8000 828,8000 833,https://universidad-une.com/, Facebook.com/UniversidadUNE; Instagram: une_universidad_; Twitter: @universidadune,N/A,530,2019/10/01 18:56,2023/09/01 17:55,
23,3,47,4,ggchalita@universidad-une.com,edelacruz@universidad-une.com,lpbautista@universidad-une.com, 14PSU0341M,8000 863,8000 828,8000 833,https://universidad-une.com/, Facebook.com/UniversidadUNE; Instagram: une_universidad_; Twitter: @universidadune,NA,1,2019/10/02 09:46,2023/05/29 11:10,
24,3,48,1,ggchalita@universidad-une.com,edelacruz@universidad-une.com,lpbautista@universidad-une.com,14PSU0342L,8000 863,8000 828,8000 833,https://universidad-une.com/, Facebook.com/UniversidadUNE; Instagram: une_universidad_; Twitter: @universidadune,NA,1,2019/10/02 09:49,2022/01/25 13:28,
25,3,651,3,ggchalita@universidad-une.com,edelacruz@universidad-une.com,lpbautista@universidad-une.com,14PSU0221Z,8000 863,8000 828,8000 833,https://universidad-une.com/, Facebook.com/UniversidadUNE; Instagram: une_universidad_; Twitter: @universidadune,N/A,1,2019/10/02 09:50,2022/10/05 18:09,
26,3,50,2,ggchalita@universidad-une.com,edelacruz@universidad-une.com,lpbautista@universidad-une.com,En trámite,8000 863,8000 828,8000 833,https://universidad-une.com/, Facebook.com/UniversidadUNE; Instagram: une_universidad_; Twitter: @universidadune,NA,1,2019/10/02 09:53,2022/05/31 11:56,
27,3,51,2,ggchalita@universidad-une.com,edelacruz@universidad-une.com,lpbautista@universidad-une.com,En trámite,8000 863,8000 828,8000 833,https://universidad-une.com/, Facebook.com/UniversidadUNE; Instagram: une_universidad_; Twitter: @universidadune,N/A,3172.52,2019/10/02 09:55,2022/08/04 12:50,
28,3,660,1,ggchalita@universidad-une.com,edelacruz@universidad-une.com,lpbautista@universidad-une.com,14PSU0373E,338000 863,338000 828,338000 833,https://universidad-une.com/, Facebook.com/UniversidadUNE; Instagram: une_universidad_; Twitter: @universidadune,NA,8758,2019/10/02 10:01,2023/09/05 13:52,
29,3,53,1,ggchalita@universidad-une.com,edelacruz@universidad-une.com,lpbautista@universidad-une.com,14PSU0320Z,8000 863,8000 828,8000 833,https://universidad-une.com/, Facebook.com/UniversidadUNE; Instagram: une_universidad_; Twitter: @universidadune,NA,1,2019/10/02 10:03,2021/11/23 11:11,
30,3,657,1,ggchalita@universidad-une.com,edelacruz@universidad-une.com,lpbautista@universidad-une.com,14PSU0353R,8000 863,8000 828,8000 833,https://universidad-une.com/, Facebook.com/UniversidadUNE; Instagram: une_universidad_; Twitter: @universidadune,N/A,19970.53,2019/10/02 10:13,2023/08/29 19:40,
31,3,663,1,ggchalita@universidad-une.com,edelacruz@universidad-une.com,lpbautista@universidad-une.com,14PSU0220A,8000 863,8000 828,8000 833,https://universidad-une.com/, Facebook.com/UniversidadUNE; Instagram: une_universidad_; Twitter: @univesidadune,N/A,1125.93,2019/10/02 10:15,2023/09/05 18:03,
32,3,56,2,ggchalita@universidad-une.com,edelacruz@universidad-une.com,lpbautista@universidad-une.com,14PSU0345i,8000 863,8000 828,8000 833,https://universidad-une.com/, Facebook.com/UniversidadUNE; Instagram: une_universidad_; Twitter: @universidadune,"Identificaciones para llegar a UNE Américas partiendo de la Secretaría de Innovación Ciencia y Tecnología (Edificio Mind)
- Dirígete al sur por Av Faro hacia Calle Barlovento. (180 mts).
- Da vuelta en U en Calle Barlovento (350 mts)
- Gira a la derecha con dirección a Av Mariano Otero/Morelia-Guadalajara/México 15 Street View (500 metros).
- En la rotonda; toma la tercera salida e incorpórate a Av. de los Arcos en dirección a Zapopan/Glorieta Minerva (950 mts)
- En la rotonda; toma la 1.ª salida e incorpórate a Av Niños Héroes en dirección a Guadalajara/Centro (1.2 km)
- Gira a la izquierda con dirección a Av Unión (1.0 km)
- Continúa por Av. de las Américas 1.5 km)",NULL,2019/10/02 10:17,2022/05/31 12:22,
33,3,57,4,ggchalita@universidad-une.com,edelacruz@universidad-une.com,lpbautista@universidad-une.com,NULL,8000 863,8000 828,8000 833,https://universidad-une.com/, Facebook.com/UniversidadUNE; Instagram: une_universidad_; Twitter: @universidadune,NULL,NULL,2019/10/02 10:19,2022/01/28 17:14,
34,13,358,2,amartinez@ucienega.edu.mx,lgalindo@ucienega.edu.mx,ldgonzalez@ucienega.edu.mx,14PSU0236B,3336133998,3336135050,3336135051,http://www.ucienega.edu.mx, Facebook: https://www.facebook.com/UniversidadDeLaCienega/; Instragram https://www.instagram.com/ucienega/,"Entre Calle Colon y 16 de septiembre.
Ingreso elevador por Av. 16 de Septiembre No.114",1578,2019/10/03 11:59,2023/08/29 11:29,
35,14,626,2,rectoria@ual.edu.mx,coordinacion.directores@ual.edu.mx,mruiz@ual.edu.mx,14PSU0040Q,47777100,36147420,NULL,https://www.ual.edu.mx/, NULL,NULL,600,2019/10/04 12:48,2023/02/27 14:05,
