id,plantel_id,seguridad_sistema_id,cantidad,created_at,updated_at
1,1,1,6,2019/07/30 17:23,2019/09/12 13:04
2,1,2,3,2019/07/30 17:23,2019/09/12 13:04
3,1,3,130,2019/07/30 17:23,2019/09/12 13:04
4,1,4,3,2019/07/30 17:23,2019/09/12 13:04
5,1,5,2,2019/07/30 17:23,2019/09/12 13:04
6,1,6,3,2019/07/30 17:23,2019/09/12 13:04
7,1,7,5,2019/07/30 17:23,2019/09/12 13:04
8,1,8,3,2019/07/30 17:23,2019/09/12 13:04
9,3,1,0,2019/09/02 14:39,2022/06/22 13:02
10,3,2,5,2019/09/02 14:39,2022/06/22 13:02
11,3,3,25,2019/09/02 14:39,2022/06/22 13:02
12,3,4,10,2019/09/02 14:39,2022/06/22 13:02
13,3,5,6,2019/09/02 14:39,2022/06/22 13:02
14,3,6,5,2019/09/02 14:39,2022/06/22 13:02
15,3,7,20,2019/09/02 14:39,2022/06/22 13:02
16,3,8,5,2019/09/02 14:39,2022/06/22 13:02
17,2,1,121,2019/09/03 10:58,2023/08/04 11:14
18,2,2,4,2019/09/03 10:58,2023/08/04 11:14
19,2,3,31,2019/09/03 10:58,2023/08/04 11:14
20,2,4,4,2019/09/03 10:58,2023/08/04 11:14
21,2,5,5,2019/09/03 10:58,2023/08/04 11:14
22,2,6,1,2019/09/03 10:58,2023/08/04 11:14
23,2,7,26,2019/09/03 10:58,2023/08/04 11:14
24,2,8,1,2019/09/03 10:58,2023/08/04 11:14
25,4,1,0,2019/09/03 16:34,2019/09/05 16:09
26,4,2,0,2019/09/03 16:34,2019/09/05 16:09
27,4,3,0,2019/09/03 16:34,2019/09/05 16:09
28,4,4,0,2019/09/03 16:34,2019/09/05 16:09
29,4,5,0,2019/09/03 16:34,2019/09/05 16:09
30,4,6,0,2019/09/03 16:34,2019/09/05 16:09
31,4,7,0,2019/09/03 16:34,2019/09/05 16:09
32,4,8,0,2019/09/03 16:34,2019/09/05 16:09
33,6,1,0,2019/09/05 16:37,2022/08/17 13:43
34,6,2,0,2019/09/05 16:37,2022/08/17 13:43
35,6,3,0,2019/09/05 16:37,2022/08/17 13:43
36,6,4,0,2019/09/05 16:37,2022/08/17 13:43
37,6,5,0,2019/09/05 16:37,2022/08/17 13:43
38,6,6,0,2019/09/05 16:37,2022/08/17 13:43
39,6,7,0,2019/09/05 16:37,2022/08/17 13:43
40,6,8,0,2019/09/05 16:37,2022/08/17 13:43
41,7,1,0,2019/09/06 15:10,2019/09/10 21:00
42,7,2,0,2019/09/06 15:10,2019/09/10 21:00
43,7,3,0,2019/09/06 15:10,2019/09/10 21:00
44,7,4,0,2019/09/06 15:10,2019/09/10 21:00
45,7,5,0,2019/09/06 15:10,2019/09/10 21:00
46,7,6,0,2019/09/06 15:10,2019/09/10 21:00
47,7,7,0,2019/09/06 15:10,2019/09/10 21:00
48,7,8,0,2019/09/06 15:10,2019/09/10 21:00
49,8,1,357,2019/09/06 15:16,2022/05/31 18:14
50,8,2,1,2019/09/06 15:16,2022/05/31 18:14
51,8,3,46,2019/09/06 15:16,2022/05/31 18:14
52,8,4,4,2019/09/06 15:16,2022/05/31 18:14
53,8,5,0,2019/09/06 15:16,2022/05/31 18:14
54,8,6,0,2019/09/06 15:16,2022/05/31 18:14
55,8,7,30,2019/09/06 15:16,2022/05/31 18:14
56,8,8,2,2019/09/06 15:16,2022/05/31 18:14
57,9,1,0,2019/09/06 16:31,2023/07/12 13:15
58,9,2,0,2019/09/06 16:31,2023/07/12 13:15
59,9,3,0,2019/09/06 16:31,2023/07/12 13:15
60,9,4,0,2019/09/06 16:31,2023/07/12 13:15
61,9,5,0,2019/09/06 16:31,2023/07/12 13:15
62,9,6,0,2019/09/06 16:31,2023/07/12 13:15
63,9,7,0,2019/09/06 16:31,2023/07/12 13:15
64,9,8,0,2019/09/06 16:31,2023/07/12 13:15
65,12,1,20,2019/09/10 17:43,2020/07/14 15:27
66,12,2,1,2019/09/10 17:43,2020/07/14 15:27
67,12,3,10,2019/09/10 17:43,2020/07/14 15:27
68,12,4,1,2019/09/10 17:43,2020/07/14 15:27
69,12,5,0,2019/09/10 17:43,2020/07/14 15:27
70,12,6,1,2019/09/10 17:43,2020/07/14 15:27
71,12,7,10,2019/09/10 17:43,2020/07/14 15:27
72,12,8,1,2019/09/10 17:43,2020/07/14 15:27
73,11,1,0,2019/09/11 10:12,2020/08/26 16:36
74,11,2,0,2019/09/11 10:12,2020/08/26 16:36
75,11,3,0,2019/09/11 10:12,2020/08/26 16:36
76,11,4,0,2019/09/11 10:12,2020/08/26 16:36
77,11,5,0,2019/09/11 10:12,2020/08/26 16:36
78,11,6,0,2019/09/11 10:12,2020/08/26 16:36
79,11,7,0,2019/09/11 10:12,2020/08/26 16:36
80,11,8,0,2019/09/11 10:12,2020/08/26 16:36
81,13,1,6,2019/09/12 13:25,2023/08/28 16:42
82,13,2,3,2019/09/12 13:25,2023/08/28 16:42
