id,programa_id,turno_id,created_at,updated_at
1,1,1,2019/07/30 17:23,2023/03/16 12:36
2,2,1,2019/09/02 14:39,2021/11/22 17:07
3,2,2,2019/09/02 14:39,2021/11/22 17:07
4,3,1,2019/09/03 10:58,2019/10/14 11:01
5,3,2,2019/09/03 10:58,2019/10/14 11:01
6,3,3,2019/09/03 10:58,2019/10/14 11:01
7,3,4,2019/09/03 10:58,2019/10/14 11:01
8,4,4,2019/09/03 16:34,2019/09/20 16:02
9,5,4,2019/09/06 15:10,2019/09/10 21:00
10,6,4,2019/09/06 15:16,2021/11/22 17:39
11,7,2,2019/09/06 16:31,2019/09/20 15:31
12,7,3,2019/09/06 16:31,2019/09/20 15:31
13,7,4,2019/09/06 16:31,2019/09/20 15:31
14,8,1,2019/09/09 13:06,2021/11/22 17:40
15,8,2,2019/09/09 13:06,2021/11/22 17:40
16,9,1,2019/09/10 17:43,2019/09/23 16:49
17,9,2,2019/09/10 17:43,2019/09/23 16:49
18,9,3,2019/09/10 17:43,2019/09/23 16:49
19,9,4,2019/09/10 17:43,2019/09/23 16:49
20,10,4,2019/09/11 10:12,2020/08/26 16:36
21,11,4,2019/09/11 14:37,2021/11/22 17:37
22,12,1,2019/09/12 12:28,2019/12/04 13:45
23,12,2,2019/09/12 12:28,2019/12/04 13:45
24,12,4,2019/09/12 12:28,2019/12/04 13:45
25,13,4,2019/09/13 14:30,2019/10/01 15:55
26,14,4,2019/09/13 14:54,2019/09/20 14:44
27,15,4,2019/09/17 16:15,2019/09/20 14:39
28,16,1,2019/09/18 12:21,2023/03/23 11:29
29,16,2,2019/09/18 12:21,2023/03/23 11:29
30,16,3,2019/09/18 12:21,2023/03/23 11:29
31,16,4,2019/09/18 12:21,2023/03/23 11:29
32,17,4,2019/09/18 12:50,2019/10/01 15:56
33,18,4,2019/09/18 15:27,2019/10/01 15:56
34,19,4,2019/09/19 13:39,2019/09/20 14:12
35,20,1,2019/09/19 14:19,2019/10/01 15:56
36,20,2,2019/09/19 14:19,2019/10/01 15:56
37,20,3,2019/09/19 14:19,2019/10/01 15:56
38,21,4,2019/09/24 14:34,2019/09/25 16:40
39,22,4,2019/09/24 14:37,2019/09/30 14:45
40,23,1,2019/09/25 15:17,2019/10/01 12:55
41,23,2,2019/09/25 15:17,2019/10/01 12:55
42,23,3,2019/09/25 15:17,2019/10/01 12:55
43,23,4,2019/09/25 15:17,2019/10/01 12:55
44,24,4,2019/09/30 12:26,2020/03/04 11:00
45,25,4,2019/09/30 15:56,2019/10/08 14:25
46,26,1,2019/10/03 11:59,2019/10/07 14:09
47,26,2,2019/10/03 11:59,2019/10/07 14:09
48,26,3,2019/10/03 11:59,2019/10/07 14:09
49,27,1,2019/10/09 13:22,2019/10/10 15:21
50,27,2,2019/10/09 13:22,2019/10/10 15:21
51,27,3,2019/10/09 13:22,2019/10/10 15:21
52,28,1,2019/10/10 16:04,2019/10/11 15:47
53,28,2,2019/10/10 16:04,2019/10/11 15:47
54,28,3,2019/10/10 16:04,2019/10/11 15:47
55,29,4,2019/10/11 16:53,2019/11/06 13:54
56,30,4,2019/10/11 17:36,2020/02/10 18:42
57,31,1,2019/10/14 12:11,2019/10/14 15:00
58,31,2,2019/10/14 12:11,2019/10/14 15:00
59,31,3,2019/10/14 12:11,2019/10/14 15:00
60,32,1,2019/10/14 15:21,2019/10/17 13:21
61,32,2,2019/10/14 15:21,2019/10/17 13:21
62,32,3,2019/10/14 15:21,2019/10/17 13:21
63,33,1,2019/10/15 11:58,2023/06/27 13:36
64,33,2,2019/10/15 11:58,2023/06/27 13:36
65,33,3,2019/10/15 11:58,2023/06/27 13:36
66,33,4,2019/10/15 11:58,2023/06/27 13:36
67,34,1,2019/10/16 14:02,2019/10/29 12:59
68,34,2,2019/10/16 14:02,2019/10/29 12:59
69,34,3,2019/10/16 14:02,2019/10/29 12:59
70,35,1,2019/10/17 15:28,2019/10/22 16:27
71,35,2,2019/10/17 15:28,2019/10/22 16:27
72,36,4,2019/10/22 11:01,2020/07/09 11:14
73,37,4,2019/10/22 12:05,2023/01/16 11:17
74,38,1,2019/10/23 12:37,2022/01/14 14:23
75,38,2,2019/10/23 12:37,2022/01/14 14:23
76,38,3,2019/10/23 12:37,2022/01/14 14:23
77,39,4,2019/10/24 12:50,2019/12/13 15:03
78,40,1,2019/10/24 14:42,2019/10/28 15:51
79,41,4,2019/10/24 16:16,2019/11/06 13:34
80,42,4,2019/10/24 16:19,2019/12/04 12:01
81,43,4,2019/10/29 09:13,2020/03/04 11:00
82,44,4,2019/10/29 13:25,2020/03/04 11:00
